COUNTY,Store #,BusinessName,CITY,Date Range,Calendar Date,Month,Year,Consumer Sales,Licensee Sales,Store Count,Total Sales
Crook,1003,Prineville Liquor Store,PRINEVILLE,TRUE,6/1/2017,6,2017,195594.32,33021.05,1,228615.37
Crook,1003,Prineville Liquor Store,PRINEVILLE,TRUE,9/1/2017,9,2017,212716.19,28229.1,1,240945.29
Crook,1003,Prineville Liquor Store,PRINEVILLE,TRUE,5/1/2018,5,2018,204164.81,35045.15,1,239209.96
Crook,1003,Prineville Liquor Store,PRINEVILLE,TRUE,8/1/2018,8,2018,214199.28,33806.6,1,248005.88
Crook,1003,Prineville Liquor Store,PRINEVILLE,TRUE,4/1/2019,4,2019,197250.95,35835.2,1,233086.15
Crook,1003,Prineville Liquor Store,PRINEVILLE,TRUE,7/1/2019,7,2019,249240.78,33656.45,1,282897.23
Crook,1003,Prineville Liquor Store,PRINEVILLE,TRUE,3/1/2020,3,2020,284018.58,21679,1,305697.58
Crook,1003,Prineville Liquor Store,PRINEVILLE,TRUE,6/1/2020,6,2020,261489.62,28887.5,1,290377.12
Crook,1003,Prineville Liquor Store,PRINEVILLE,TRUE,2/1/2021,2,2021,229788.56,15311,1,245099.56
Crook,1003,Prineville Liquor Store,PRINEVILLE,TRUE,5/1/2021,5,2021,267054.8,33066.45,1,300121.25
Crook,1003,Prineville Liquor Store,PRINEVILLE,TRUE,1/1/2022,1,2022,222111.49,39235.25,1,261346.74
Crook,1003,Prineville Liquor Store,PRINEVILLE,TRUE,4/1/2022,4,2022,276324.77,49758.75,1,326083.52
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,2/1/2017,2,2017,252772.47,32546.6,1,285319.07
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,5/1/2017,5,2017,299801.74,39468.26,1,339270
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,1/1/2018,1,2018,248903.48,38951.05,1,287854.53
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,4/1/2018,4,2018,262496.56,35789.29,1,298285.85
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,3/1/2019,3,2019,280981.12,44117.95,1,325099.07
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,2/1/2020,2,2020,280716.94,41108.7,1,321825.64
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,1/1/2021,1,2021,387270.65,3766.2,1,391036.85
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,7/1/2017,7,2017,26809.56,8497,1,35306.56
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,10/1/2017,10,2017,23055.15,6719.65,1,29774.8
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,6/1/2018,6,2018,27458.08,7051.3,1,34509.38
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,9/1/2018,9,2018,26286.8,6493.4,1,32780.2
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,12/1/2018,12,2018,33315.37,9670.25,1,42985.62
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,5/1/2019,5,2019,27867.03,9546.65,1,37413.68
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,8/1/2019,8,2019,31189.95,8148.7,1,39338.65
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,11/1/2019,11,2019,30121.5,4517.9,1,34639.4
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,4/1/2020,4,2020,42374.8,0,1,42374.8
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,3/1/2017,3,2017,277306.64,43769,1,321075.64
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,6/1/2017,6,2017,311027.22,41814.5,1,352841.72
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,9/1/2017,9,2017,300086.23,37590.65,1,337676.88
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,2/1/2018,2,2018,256341.64,36126.85,1,292468.49
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,5/1/2018,5,2018,298752.62,38229.5,1,336982.12
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,8/1/2018,8,2018,320538.76,45353.81,1,365892.57
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,1/1/2019,1,2019,239134.62,38281.34,1,277415.96
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,4/1/2019,4,2019,266152.28,36086.2,1,302238.48
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,7/1/2019,7,2019,350253.93,40809.91,1,391063.84
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,3/1/2020,3,2020,415167.54,23711.5,1,438879.04
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,6/1/2020,6,2020,397616.61,39954.13,1,437570.74
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,2/1/2021,2,2021,380787.53,12483.35,1,393270.88
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,5/1/2021,5,2021,455258.15,19307.28,1,474565.43
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,1/1/2022,1,2022,399888.85,37854.9,1,437743.75
Deschutes,1004,Redmond Liquor Store,REDMOND,TRUE,4/1/2022,4,2022,471240.69,40879.5,1,512120.19
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,3/1/2017,3,2017,24674.2,9005.8,1,33680
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,6/1/2017,6,2017,25937,8294.05,1,34231.05
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,9/1/2017,9,2017,25262.6,7436,1,32698.6
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,12/1/2017,12,2017,31288.74,8475.4,1,39764.14
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,2/1/2018,2,2018,20816.8,9166.75,1,29983.55
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,5/1/2018,5,2018,26325.29,9254.6,1,35579.89
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,8/1/2018,8,2018,35957.25,8917.8,1,44875.05
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,11/1/2018,11,2018,28534.45,8883.95,1,37418.4
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,1/1/2019,1,2019,23813.28,9100.7,1,32913.98
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,4/1/2019,4,2019,26047.15,8795.95,1,34843.1
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,7/1/2019,7,2019,28208.8,7025.3,1,35234.1
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,10/1/2019,10,2019,29975.78,5503.85,1,35479.63
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,3/1/2020,3,2020,43621.8,2883.45,1,46505.25
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,7/1/2017,7,2017,45042.3,1472.1,1,46514.4
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,6/1/2018,6,2018,41783.35,1683.2,1,43466.55
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,5/1/2019,5,2019,58002.91,701.25,1,58704.16
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,4/1/2020,4,2020,58687.26,159.7,1,58846.96
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,3/1/2021,3,2021,56183.86,821.15,1,57005.01
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,2/1/2022,2,2022,48555.21,1153.7,1,49708.91
