"","Year","Month","Total.Sales"
"1","2017","February",43204114.39
"2","2017","March",49077944.15
"3","2017","April",46082775.21
"4","2017","May",49783183.05
"5","2017","June",51044591.48
"6","2017","July",52257673.83
"7","2017","August",54062358.35
"8","2017","September",49811317.45
"9","2017","October",50463384.31
"10","2017","November",51948743.7
"11","2017","December",69629798.18
"12","2018","January",44283310
"13","2018","February",45168981.8
"14","2018","March",53152632.36
"15","2018","April",47871527.88
"16","2018","May",53541290.13
"17","2018","June",53942021.73
"18","2018","July",55341690.96
"19","2018","August",57020272.06
"20","2018","September",50947473.96
"21","2018","October",53145595.88
"22","2018","November",57871157.12
"23","2018","December",74107210.51
"24","2019","January",47203014.88
"25","2019","February",49135986.68
"26","2019","March",54999967.05
"27","2019","April",52478377.07
"28","2019","May",57334238.8
"29","2019","June",55857295.92
"30","2019","July",59403504.57
"31","2019","August",60625717.03
"32","2019","September",53667387.32
"33","2019","October",58191108.77
"34","2019","November",61261825.75
"35","2019","December",75850550.6
"36","2020","January",50814685.37
"37","2020","February",53161586.19
"38","2020","March",65951253.01
"39","2020","April",58003400.97
"40","2020","May",65055407.79
"41","2020","June",63122199.41
"42","2020","July",66957576.79
"43","2020","August",64853196.12
"44","2020","September",61566702.98
"45","2020","October",67872548.86
"46","2020","November",63724207.61
"47","2020","December",84809891.41
"48","2021","January",55764046.66
"49","2021","February",56484165.96
"50","2021","March",65034406.4
"51","2021","April",65563084.73
"52","2021","May",66993191.22
"53","2021","June",66570183.88
"54","2021","July",72227008.72
"55","2021","August",67215332.8
"56","2021","September",65557451.63
"57","2021","October",69753349.52
"58","2021","November",69631501.16
"59","2021","December",92404366.95
"60","2022","January",57004272.94
"61","2022","February",60297509.91
"62","2022","March",67296097.86
"63","2022","April",67733383.34
"64","2022","May",67902447.82
"65","2022","June",70055060.95
"66","2022","July",72930604.58
"67","2022","August",71560093.73
"68","2022","September",69315548.89
"69","2022","October",69181971.06
"70","2022","November",71856657.06
"71","2022","December",94057714.68
"72","2023","January",59763008.69
